invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,revenue,transaction_type
575477,21824,PAINTED METAL STAR WITH HOLLY BELLS,2,2011-11-09 16:14:00,0.83,,United Kingdom,1.66,Sale
554765,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,2011-05-26 11:38:00,8.5,16837.0,United Kingdom,17.0,Sale
565767,84692,BOX OF 24 COCKTAIL PARASOLS,1,2011-09-06 14:28:00,4.17,,United Kingdom,4.17,Sale
567668,23209,LUNCH BAG VINTAGE DOILY ,1,2011-09-21 15:29:00,4.13,,United Kingdom,4.13,Sale
572550,23203,JUMBO BAG VINTAGE DOILY ,1,2011-10-24 17:06:00,4.13,,United Kingdom,4.13,Sale
559629,22350,ILLUSTRATED CAT BOWL ,1,2011-07-11 11:58:00,2.55,14690.0,United Kingdom,2.55,Sale
549245,84466,TOP SECRET PEN SET,4,2011-04-07 11:59:00,1.25,15005.0,United Kingdom,5.0,Sale
566560,23241,TREASURE TIN GYMKHANA DESIGN,4,2011-09-13 12:09:00,2.08,17092.0,United Kingdom,8.32,Sale
546915,22555,PLASTERS IN TIN STRONGMAN,12,2011-03-18 08:31:00,1.65,15695.0,United Kingdom,19.8,Sale
542997,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2011-02-02 12:16:00,7.46,,United Kingdom,7.46,Sale
577511,23296,SET OF 6 TEA TIME BAKING CASES,2,2011-11-20 12:53:00,1.25,17561.0,United Kingdom,2.5,Sale
538715,22548,HEADS AND TAILS SPORTING FUN,12,2010-12-14 11:03:00,1.25,14907.0,United Kingdom,15.0,Sale
557268,21314,SMALL GLASS HEART TRINKET POT,8,2011-06-19 11:26:00,2.1,13097.0,United Kingdom,16.8,Sale
563911,20728,LUNCH BAG CARS BLUE,10,2011-08-21 12:39:00,1.65,16265.0,United Kingdom,16.5,Sale
560491,23295,SET OF 12 MINI LOAF BAKING CASES,2,2011-07-19 10:51:00,0.83,12415.0,Australia,1.66,Sale
536558,22802,FAUX FUR CHOCOLATE THROW,5,2010-12-01 14:48:00,19.95,,United Kingdom,99.75,Sale
566534,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,8,2011-09-13 11:32:00,4.96,,United Kingdom,39.68,Sale
562934,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2011-08-10 16:56:00,3.29,,United Kingdom,3.29,Sale
560650,21913,VINTAGE SEASIDE JIGSAW PUZZLES,3,2011-07-20 11:38:00,3.75,15529.0,United Kingdom,11.25,Sale
539490,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2010-12-20 10:00:00,0.85,17069.0,United Kingdom,10.2,Sale
576326,22154,ANGEL DECORATION 3 BUTTONS ,15,2011-11-14 15:18:00,0.42,16504.0,United Kingdom,6.3,Sale
576617,23203,JUMBO BAG VINTAGE DOILY ,4,2011-11-15 16:57:00,4.13,,United Kingdom,16.52,Sale
560942,22066,LOVE HEART TRINKET POT,6,2011-07-22 11:31:00,0.39,15005.0,United Kingdom,2.34,Sale
537665,48194,DOORMAT HEARTS,1,2010-12-07 17:19:00,7.95,16365.0,United Kingdom,7.95,Sale
569871,23535,BICYCLE SAFTEY WALL ART,4,2011-10-06 15:04:00,5.95,13089.0,United Kingdom,23.8,Sale
552315,22390,PAPERWEIGHT CHILDHOOD MEMORIES,6,2011-05-08 16:10:00,2.55,12700.0,France,15.3,Sale
549279,22918,HERB MARKER PARSLEY,2,2011-04-07 13:16:00,0.65,16469.0,United Kingdom,1.3,Sale
546406,21534,DAIRY MAID LARGE MILK JUG,1,2011-03-11 16:21:00,9.96,,United Kingdom,9.96,Sale
570521,23156,SET OF 5 MINI GROCERY MAGNETS,12,2011-10-11 10:43:00,2.08,12371.0,Switzerland,24.96,Sale
540372,85014B,RED RETROSPOT UMBRELLA,6,2011-01-06 16:41:00,5.95,13081.0,United Kingdom,35.7,Sale
552657,21723,ALPHABET HEARTS STICKER SHEET,50,2011-05-10 14:51:00,0.85,18041.0,United Kingdom,42.5,Sale
567673,23206,LUNCH BAG APPLE DESIGN,2,2011-09-21 15:43:00,4.13,,United Kingdom,8.26,Sale
555092,22150,3 STRIPEY MICE FELTCRAFT,3,2011-05-31 13:08:00,1.95,16483.0,United Kingdom,5.85,Sale
560434,85087,CANDY SPOT CUSHION COVER,3,2011-07-18 15:56:00,3.29,,United Kingdom,9.87,Sale
563353,23291,DOLLY GIRL CHILDRENS CUP,8,2011-08-15 14:32:00,1.25,15480.0,Malta,10.0,Sale
540459,22357,KINGS CHOICE BISCUIT TIN,12,2011-01-07 12:35:00,3.75,16191.0,United Kingdom,45.0,Sale
566740,16237,SLEEPING CAT ERASERS,30,2011-09-14 14:34:00,0.21,17033.0,United Kingdom,6.3,Sale
550542,22025,RING OF ROSES BIRTHDAY CARD,1,2011-04-19 11:37:00,0.83,,United Kingdom,0.83,Sale
552285,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-05-08 12:58:00,1.95,14684.0,United Kingdom,1.95,Sale
554920,21577,SAVE THE PLANET COTTON TOTE BAG,12,2011-05-27 12:41:00,2.25,16275.0,United Kingdom,27.0,Sale
572309,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1,2011-10-23 15:29:00,9.95,14432.0,United Kingdom,9.95,Sale
538011,21754,HOME BUILDING BLOCK WORD,3,2010-12-09 12:24:00,5.95,14896.0,United Kingdom,17.85,Sale
537638,15039,SANDALWOOD FAN,1,2010-12-07 15:28:00,1.66,,United Kingdom,1.66,Sale
552864,23254,CHILDRENS CUTLERY DOLLY GIRL ,5,2011-05-11 17:13:00,4.15,13235.0,United Kingdom,20.75,Sale
546117,84912A,PINK ROSE WASHBAG,3,2011-03-09 13:56:00,3.75,16771.0,United Kingdom,11.25,Sale
567346,22866,HAND WARMER SCOTTY DOG DESIGN,96,2011-09-19 15:53:00,1.85,13767.0,United Kingdom,177.60000000000002,Sale
573904,23555,LANDMARK FRAME NOTTING HILL ,1,2011-11-01 14:54:00,12.5,14505.0,United Kingdom,12.5,Sale
563922,22616,PACK OF 12 LONDON TISSUES ,1,2011-08-21 14:10:00,0.29,14529.0,United Kingdom,0.29,Sale
569670,22689,DOORMAT MERRY CHRISTMAS RED ,2,2011-10-05 13:47:00,8.25,14730.0,United Kingdom,16.5,Sale
556786,23014,GLASS APOTHECARY BOTTLE ELIXIR,12,2011-06-14 13:18:00,3.45,13408.0,United Kingdom,41.400000000000006,Sale
574717,23321,SMALL WHITE HEART OF WICKER,40,2011-11-06 14:35:00,1.45,18170.0,United Kingdom,58.0,Sale
580362,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-12-02 16:30:00,2.95,13884.0,United Kingdom,17.700000000000003,Sale
554065,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2011-05-22 10:39:00,1.45,18287.0,United Kingdom,17.4,Sale
568533,22629,SPACEBOY LUNCH BOX ,24,2011-09-27 13:56:00,1.65,15061.0,United Kingdom,39.6,Sale
572312,84792,ENCHANTED BIRD COATHANGER 5 HOOK,2,2011-10-23 15:47:00,4.65,15022.0,United Kingdom,9.3,Sale
565326,15056N,EDWARDIAN PARASOL NATURAL,2,2011-09-02 13:41:00,5.95,16706.0,United Kingdom,11.9,Sale
580115,22835,HOT WATER BOTTLE I AM SO POORLY,2,2011-12-01 16:22:00,10.79,,United Kingdom,21.58,Sale
573576,82567,"AIRLINE LOUNGE,METAL SIGN",1,2011-10-31 14:09:00,1.63,14096.0,United Kingdom,1.63,Sale
550468,20725,LUNCH BAG RED RETROSPOT,10,2011-04-18 13:43:00,1.65,16700.0,United Kingdom,16.5,Sale
558774,35923,CANDY HEART HANGING DECORATION,5,2011-07-04 10:17:00,0.83,,United Kingdom,4.15,Sale
574682,23080,RED METAL BOX TOP SECRET,1,2011-11-06 12:44:00,8.25,14963.0,United Kingdom,8.25,Sale
576618,22357,KINGS CHOICE BISCUIT TIN,1,2011-11-15 17:00:00,4.13,,United Kingdom,4.13,Sale
564093,21744,SNOWFLAKE PORTABLE TABLE LIGHT ,12,2011-08-23 10:29:00,2.95,14930.0,Channel Islands,35.400000000000006,Sale
568712,22077,6 RIBBONS RUSTIC CHARM,1,2011-09-28 15:50:00,1.95,17841.0,United Kingdom,1.95,Sale
557849,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-06-23 10:52:00,2.08,17613.0,United Kingdom,20.8,Sale
548158,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,4,2011-03-29 13:28:00,3.75,15906.0,United Kingdom,15.0,Sale
551159,21914,BLUE HARMONICA IN BOX ,12,2011-04-26 15:02:00,1.25,16203.0,United Kingdom,15.0,Sale
570129,22300,COFFEE MUG DOG + BALL DESIGN,6,2011-10-07 13:34:00,2.55,12885.0,United Kingdom,15.3,Sale
558996,22192,BLUE DINER WALL CLOCK,2,2011-07-05 12:11:00,8.5,13085.0,United Kingdom,17.0,Sale
547811,22128,PARTY CONES CANDY ASSORTED,6,2011-03-25 14:01:00,1.25,17368.0,United Kingdom,7.5,Sale
573868,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-11-01 12:18:00,0.85,12491.0,France,8.5,Sale
578058,22608,PENS ASSORTED FUNKY JEWELED ,36,2011-11-22 15:07:00,0.19,18249.0,United Kingdom,6.84,Sale
578065,90013C,GREEN VINTAGE EARRINGS ,1,2011-11-22 15:41:00,4.15,,United Kingdom,4.15,Sale
557891,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,16,2011-06-23 14:05:00,0.42,17652.0,United Kingdom,6.72,Sale
573094,22192,BLUE DINER WALL CLOCK,1,2011-10-27 14:39:00,8.5,15707.0,United Kingdom,8.5,Sale
573585,20725,LUNCH BAG RED RETROSPOT,3,2011-10-31 14:41:00,4.13,,United Kingdom,12.39,Sale
563731,23322,LARGE WHITE HEART OF WICKER,5,2011-08-18 17:44:00,2.95,17576.0,United Kingdom,14.75,Sale
567512,20676,RED RETROSPOT BOWL,16,2011-09-20 15:03:00,1.25,12720.0,Germany,20.0,Sale
541843,22804,CANDLEHOLDER PINK HANGING HEART,1,2011-01-23 12:08:00,2.95,13659.0,United Kingdom,2.95,Sale
577358,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,2011-11-18 15:59:00,2.46,,United Kingdom,2.46,Sale
552290,84849D,HOT BATHS SOAP HOLDER,2,2011-05-08 13:32:00,1.69,16007.0,United Kingdom,3.38,Sale
568146,23201,JUMBO BAG ALPHABET,10,2011-09-25 11:33:00,2.08,16169.0,United Kingdom,20.8,Sale
560729,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-07-20 14:39:00,2.1,17511.0,United Kingdom,25.200000000000003,Sale
563100,23108,SET OF 10 LED DOLLY LIGHTS,2,2011-08-12 09:57:00,6.25,12381.0,Norway,12.5,Sale
544295,21908,CHOCOLATE THIS WAY METAL SIGN,12,2011-02-17 12:43:00,1.85,14298.0,United Kingdom,22.200000000000003,Sale
564716,23245,SET OF 3 REGENCY CAKE TINS,4,2011-08-28 11:02:00,4.95,14810.0,United Kingdom,19.8,Sale
578702,22629,SPACEBOY LUNCH BOX ,12,2011-11-25 10:58:00,1.95,15382.0,United Kingdom,23.4,Sale
570502,22966,GINGERBREAD MAN COOKIE CUTTER,1,2011-10-11 09:24:00,1.25,14744.0,United Kingdom,1.25,Sale
567459,22985,WRAP BILLBOARD FONTS DESIGN,25,2011-09-20 12:21:00,0.42,14221.0,United Kingdom,10.5,Sale
560260,22667,RECIPE BOX RETROSPOT ,1,2011-07-17 13:32:00,2.95,14044.0,United Kingdom,2.95,Sale
544200,22383,LUNCH BAG SUKI  DESIGN ,10,2011-02-17 10:08:00,1.65,12494.0,France,16.5,Sale
537374,84558A,3D DOG PICTURE PLAYING CARDS,2,2010-12-06 12:55:00,2.95,17259.0,United Kingdom,5.9,Sale
557636,23275,SET OF 3 HANGING OWLS OLLIE BEAK,2,2011-06-21 15:41:00,1.25,17841.0,United Kingdom,2.5,Sale
541870,22861,EASTER TIN CHICKS IN GARDEN,1,2011-01-24 09:39:00,3.29,,United Kingdom,3.29,Sale
555647,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,2011-06-06 13:43:00,1.25,12957.0,United Kingdom,30.0,Sale
564734,22382,LUNCH BAG SPACEBOY DESIGN ,3,2011-08-28 13:32:00,1.65,12484.0,Spain,4.949999999999999,Sale
546480,22656,VINTAGE BLUE KITCHEN CABINET,1,2011-03-14 11:38:00,295.0,13452.0,United Kingdom,295.0,Sale
569015,22186,RED STAR CARD HOLDER,12,2011-09-30 09:20:00,1.95,13575.0,United Kingdom,23.4,Sale
560209,22360,GLASS JAR ENGLISH CONFECTIONERY,8,2011-07-15 14:05:00,2.95,15004.0,United Kingdom,23.6,Sale
557937,23020,GLASS  SONGBIRD STORAGE JAR,1,2011-06-23 15:30:00,24.96,,United Kingdom,24.96,Sale
550953,21716,BOYS VINTAGE TIN SEASIDE BUCKET,1,2011-04-21 16:17:00,4.96,,United Kingdom,4.96,Sale
558774,22662,LUNCH BAG DOLLY GIRL DESIGN,1,2011-07-04 10:17:00,4.13,,United Kingdom,4.13,Sale
553387,84978,HANGING HEART JAR T-LIGHT HOLDER,1,2011-05-16 16:33:00,2.46,,United Kingdom,2.46,Sale
538349,21915,RED  HARMONICA IN BOX ,1,2010-12-10 14:59:00,2.51,,United Kingdom,2.51,Sale
579777,21984,PACK OF 12 PINK PAISLEY TISSUES ,1,2011-11-30 15:13:00,0.83,,United Kingdom,0.83,Sale
537434,22548,HEADS AND TAILS SPORTING FUN,1,2010-12-06 16:57:00,2.51,,United Kingdom,2.51,Sale
574074,22571,ROCKING HORSE RED CHRISTMAS ,5,2011-11-02 15:33:00,1.63,,United Kingdom,8.149999999999999,Sale
543822,22955,36 FOIL STAR CAKE CASES ,12,2011-02-14 09:24:00,2.1,12507.0,Spain,25.200000000000003,Sale
570380,21899,GARAGE KEY FOB,1,2011-10-10 12:35:00,0.65,14606.0,United Kingdom,0.65,Sale
574298,90138,WHITE/PINK MINI CRYSTALS NECKLACE,1,2011-11-03 15:56:00,5.4,,United Kingdom,5.4,Sale
538071,20867,PINK ROSE FABRIC MIRROR,2,2010-12-09 14:09:00,2.51,,United Kingdom,5.02,Sale
537638,22588,CARD HOLDER GINGHAM HEART,5,2010-12-07 15:28:00,5.06,,United Kingdom,25.3,Sale
560262,22606,WOODEN SKITTLES GARDEN SET,1,2011-07-17 13:40:00,15.95,14224.0,United Kingdom,15.95,Sale
572562,23088,ZINC HEART FLOWER T-LIGHT HOLDER,16,2011-10-25 09:07:00,1.25,13481.0,United Kingdom,20.0,Sale
554961,22147,FELTCRAFT BUTTERFLY HEARTS,1,2011-05-27 15:19:00,4.13,,United Kingdom,4.13,Sale
558904,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-07-04 16:18:00,2.46,,United Kingdom,4.92,Sale
567980,21166,COOK WITH WINE METAL SIGN ,2,2011-09-23 11:22:00,2.08,15311.0,United Kingdom,4.16,Sale
578284,23202,JUMBO BAG VINTAGE LEAF,10,2011-11-23 13:56:00,2.08,14385.0,United Kingdom,20.8,Sale
575177,90010E,AMBER GLASS/SILVER BRACELET,3,2011-11-08 18:41:00,9.15,,United Kingdom,27.450000000000003,Sale
559051,84673B,BLUE FLY SWAT,1,2011-07-05 16:47:00,0.79,,United Kingdom,0.79,Sale
567667,21872,GLAMOROUS  MUG,2,2011-09-21 15:24:00,3.29,,United Kingdom,6.58,Sale
562593,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2,2011-08-07 15:43:00,2.55,16549.0,United Kingdom,5.1,Sale
567159,22507,MEMO BOARD RETROSPOT  DESIGN,3,2011-09-18 10:19:00,4.95,15465.0,United Kingdom,14.85,Sale
574734,22653,BUTTON BOX ,2,2011-11-06 15:20:00,1.95,15025.0,United Kingdom,3.9,Sale
549729,22857,ASSORTED EASTER GIFT TAGS,5,2011-04-11 16:17:00,0.85,13634.0,United Kingdom,4.25,Sale
540518,22270,HAPPY EASTER HANGING DECORATION,4,2011-01-09 12:03:00,3.75,14761.0,United Kingdom,15.0,Sale
578056,23109,PACK OF SIX LED TEA LIGHTS,36,2011-11-22 15:04:00,2.89,16164.0,United Kingdom,104.04,Sale
552869,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2011-05-12 08:41:00,2.55,15106.0,United Kingdom,15.3,Sale
567182,22696,WICKER WREATH LARGE,3,2011-09-18 15:21:00,1.95,13334.0,United Kingdom,5.85,Sale
581439,23424,GINGHAM RECIPE BOOK BOX,1,2011-12-08 16:30:00,10.79,,United Kingdom,10.79,Sale
573364,23240,SET OF 4 KNICK KNACK TINS DOILY ,2,2011-10-30 13:09:00,4.15,14710.0,United Kingdom,8.3,Sale
580685,22924,FRIDGE MAGNETS LA VIE EN ROSE,12,2011-12-05 15:16:00,0.85,17676.0,United Kingdom,10.2,Sale
557268,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-06-19 11:26:00,9.95,13097.0,United Kingdom,9.95,Sale
541682,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2011-01-20 15:00:00,0.85,14770.0,United Kingdom,30.6,Sale
544792,22583,PACK OF 6 HANDBAG GIFT BOXES,12,2011-02-23 12:37:00,2.55,18172.0,United Kingdom,30.6,Sale
562524,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,2011-08-05 13:28:00,3.25,15201.0,United Kingdom,19.5,Sale
550638,22797,CHEST OF DRAWERS GINGHAM HEART ,1,2011-04-19 15:44:00,33.29,,United Kingdom,33.29,Sale
557431,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-06-20 12:37:00,2.95,18260.0,United Kingdom,17.700000000000003,Sale
579885,22227,HANGING HEART MIRROR DECORATION ,5,2011-11-30 17:37:00,0.65,15444.0,United Kingdom,3.25,Sale
566564,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-09-13 12:26:00,0.85,15522.0,United Kingdom,0.85,Sale
539437,22960,JAM MAKING SET WITH JARS,2,2010-12-17 14:54:00,8.47,,United Kingdom,16.94,Sale
555650,22077,6 RIBBONS RUSTIC CHARM,12,2011-06-06 13:48:00,1.65,14156.0,EIRE,19.8,Sale
538709,22079,RIBBON REEL HEARTS DESIGN ,2,2010-12-14 10:46:00,1.65,16442.0,United Kingdom,3.3,Sale
573093,23343,JUMBO BAG VINTAGE CHRISTMAS ,5,2011-10-27 14:38:00,2.08,18283.0,United Kingdom,10.4,Sale
559051,84946,ANTIQUE SILVER T-LIGHT GLASS,10,2011-07-05 16:47:00,2.46,,United Kingdom,24.6,Sale
560433,85106,CUT GLASS HEXAGON T-LIGHT HOLDER,2,2011-07-18 15:49:00,4.13,,United Kingdom,8.26,Sale
564483,21292,SMALL STRIPES CHOCOLATE GIFT BAG ,16,2011-08-25 13:46:00,0.85,14050.0,United Kingdom,13.6,Sale
560773,21206,STRAWBERRY HONEYCOMB  GARLAND ,2,2011-07-20 16:17:00,1.63,,United Kingdom,3.26,Sale
545901,21577,SAVE THE PLANET COTTON TOTE BAG,2,2011-03-07 17:52:00,2.25,15834.0,United Kingdom,4.5,Sale
549556,22659,LUNCH BOX I LOVE LONDON,2,2011-04-10 12:53:00,1.95,17372.0,United Kingdom,3.9,Sale
568141,47504K,ENGLISH ROSE GARDEN SECATEURS,3,2011-09-25 11:21:00,0.79,16326.0,United Kingdom,2.37,Sale
564321,90200A,PURPLE SWEETHEART BRACELET,2,2011-08-24 13:22:00,4.25,15059.0,United Kingdom,8.5,Sale
540689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1010,2011-01-11 08:43:00,3.24,17450.0,United Kingdom,3272.4,Sale
537023,46000R,POLYESTER FILLER PAD 45x30cm,1,2010-12-03 16:02:00,1.45,16725.0,United Kingdom,1.45,Sale
579297,21137,BLACK RECORD COVER FRAME,4,2011-11-29 11:23:00,7.46,,United Kingdom,29.84,Sale
577757,23460,SWEETHEART WALL TIDY ,2,2011-11-21 15:10:00,9.95,13755.0,United Kingdom,19.9,Sale
557560,23245,SET OF 3 REGENCY CAKE TINS,4,2011-06-21 10:37:00,4.95,15329.0,United Kingdom,19.8,Sale
548167,22088,PAPER BUNTING COLOURED LACE,1,2011-03-29 13:45:00,4.13,,United Kingdom,4.13,Sale
549023,21454,PAINTED PINK RABBIT ,3,2011-04-05 16:27:00,0.83,,United Kingdom,2.49,Sale
549262,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2011-04-07 12:38:00,2.95,14465.0,United Kingdom,2.95,Sale
574734,85061W,WHITE JEWELLED HEART DECORATION,10,2011-11-06 15:20:00,0.85,15025.0,United Kingdom,8.5,Sale
563093,84997B,CHILDRENS CUTLERY RETROSPOT RED ,1,2011-08-11 17:28:00,8.29,,United Kingdom,8.29,Sale
537463,22313,OFFICE MUG WARMER PINK,18,2010-12-07 10:08:00,2.95,12681.0,France,53.1,Sale
568510,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,2011-09-27 12:26:00,1.25,13555.0,United Kingdom,22.5,Sale
567882,22950,36 DOILIES VINTAGE CHRISTMAS,12,2011-09-22 15:03:00,1.45,12906.0,United Kingdom,17.4,Sale
537666,22422,TOOTHPASTE TUBE PEN,2,2010-12-07 18:36:00,1.28,,United Kingdom,2.56,Sale
550052,21935,SUKI  SHOULDER BAG,10,2011-04-14 12:00:00,1.65,17068.0,United Kingdom,16.5,Sale
546426,21754,HOME BUILDING BLOCK WORD,2,2011-03-13 13:46:00,5.95,13708.0,United Kingdom,11.9,Sale
578067,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,1,2011-11-22 15:43:00,0.83,,United Kingdom,0.83,Sale
577228,21328,BALLOONS  WRITING SET ,1,2011-11-18 12:07:00,1.65,12391.0,Cyprus,1.65,Sale
561690,22379,RECYCLING BAG RETROSPOT ,5,2011-07-29 09:11:00,2.1,13875.0,United Kingdom,10.5,Sale
565917,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-09-07 16:15:00,1.24,,United Kingdom,19.84,Sale
544598,21773,DECORATIVE ROSE BATHROOM BOTTLE,1,2011-02-21 18:10:00,2.46,,United Kingdom,2.46,Sale
540551,20622,VIPPASSPORT COVER ,2,2011-01-10 09:43:00,1.66,,United Kingdom,3.32,Sale
547665,84880,WHITE WIRE EGG HOLDER,6,2011-03-24 13:17:00,7.5,14256.0,United Kingdom,45.0,Sale
557640,21556,CERAMIC STRAWBERRY MONEY BOX,4,2011-06-21 16:24:00,4.13,,United Kingdom,16.52,Sale
558614,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-06-30 15:56:00,8.29,,United Kingdom,8.29,Sale
540848,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-01-12 09:26:00,5.91,,United Kingdom,5.91,Sale
555150,90037C,TINY CRYSTAL BRACELET BLUE,1,2011-05-31 15:53:00,2.48,,United Kingdom,2.48,Sale
557324,21974,SET OF 36 PAISLEY FLOWER DOILIES,2,2011-06-20 09:41:00,2.92,,United Kingdom,5.84,Sale
565768,85099B,JUMBO BAG RED RETROSPOT,20,2011-09-06 14:29:00,2.08,14040.0,United Kingdom,41.6,Sale
537196,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-12-05 13:55:00,3.25,15426.0,United Kingdom,3.25,Sale
561894,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1,2011-07-31 15:00:00,6.95,14456.0,United Kingdom,6.95,Sale
561005,22583,PACK OF 6 HANDBAG GIFT BOXES,5,2011-07-22 14:53:00,2.55,17961.0,United Kingdom,12.75,Sale
569965,85152,HAND OVER THE CHOCOLATE   SIGN ,3,2011-10-06 18:47:00,2.1,18109.0,United Kingdom,6.300000000000001,Sale
578149,23170,REGENCY TEA PLATE ROSES ,7,2011-11-23 11:11:00,3.29,,United Kingdom,23.03,Sale
536862,21066,VINTAGE RED MUG,1,2010-12-03 11:13:00,2.51,,United Kingdom,2.51,Sale
536370,10002,INFLATABLE POLITICAL GLOBE ,48,2010-12-01 08:45:00,0.85,12583.0,France,40.8,Sale
544778,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1,2011-02-23 12:03:00,2.55,14978.0,United Kingdom,2.55,Sale
568321,21914,BLUE HARMONICA IN BOX ,12,2011-09-26 13:36:00,1.25,13639.0,United Kingdom,15.0,Sale
539434,22738,RIBBON REEL SNOWY VILLAGE,1,2010-12-17 14:41:00,3.36,,United Kingdom,3.36,Sale
573501,23313,VINTAGE CHRISTMAS BUNTING,7,2011-10-31 12:02:00,4.95,18055.0,United Kingdom,34.65,Sale
557889,23292,SPACE BOY CHILDRENS CUP,8,2011-06-23 13:51:00,1.25,12412.0,Denmark,10.0,Sale
551305,21096,SET/6 FRUIT SALAD  PAPER PLATES,24,2011-04-27 14:58:00,0.39,16145.0,United Kingdom,9.36,Sale
551142,21155,RED RETROSPOT PEG BAG,3,2011-04-26 13:22:00,2.55,17613.0,United Kingdom,7.649999999999999,Sale
544928,21165,BEWARE OF THE CAT METAL SIGN ,1,2011-02-24 18:07:00,4.13,,United Kingdom,4.13,Sale
573585,21071,VINTAGE BILLBOARD DRINK ME MUG,1,2011-10-31 14:41:00,2.46,,United Kingdom,2.46,Sale
551527,21904,HOUSE WRECKING METAL SIGN ,1,2011-05-01 12:41:00,2.1,14395.0,United Kingdom,2.1,Sale
547249,21143,ANTIQUE GLASS HEART DECORATION ,2,2011-03-22 09:27:00,4.13,,United Kingdom,8.26,Sale
567959,23343,JUMBO BAG VINTAGE CHRISTMAS ,50,2011-09-23 09:13:00,2.08,12516.0,Germany,104.0,Sale
575694,21253,SET OF PICTURE FRAME  STICKERS,5,2011-11-10 16:38:00,2.95,12748.0,United Kingdom,14.75,Sale
581439,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,1,2011-12-08 16:30:00,4.13,,United Kingdom,4.13,Sale
539437,20966,SANDWICH BATH SPONGE,6,2010-12-17 14:54:00,2.51,,United Kingdom,15.06,Sale
581439,22563,HAPPY STENCIL CRAFT,2,2011-12-08 16:30:00,2.46,,United Kingdom,4.92,Sale
542617,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,1,2011-01-30 15:48:00,0.85,17463.0,United Kingdom,0.85,Sale
555745,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-06-07 10:46:00,2.95,14462.0,United Kingdom,17.700000000000003,Sale
539764,22427,ENAMEL FLOWER JUG CREAM,6,2010-12-22 11:07:00,5.95,14533.0,United Kingdom,35.7,Sale
580115,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,75,2011-12-01 16:22:00,2.55,,United Kingdom,191.25,Sale
561615,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-07-28 12:57:00,1.69,13319.0,United Kingdom,27.04,Sale
541423,21889,WOODEN BOX OF DOMINOES,1,2011-01-17 17:54:00,2.46,,United Kingdom,2.46,Sale
567306,22568,FELTCRAFT CUSHION OWL,48,2011-09-19 13:32:00,3.39,12752.0,Norway,162.72,Sale
569676,23209,LUNCH BAG VINTAGE DOILY ,1,2011-10-05 14:12:00,1.65,,United Kingdom,1.65,Sale
571717,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1,2011-10-18 17:10:00,1.65,14381.0,United Kingdom,1.65,Sale
550015,22631,CIRCUS PARADE LUNCH BOX ,12,2011-04-14 10:54:00,1.95,17735.0,United Kingdom,23.4,Sale
572882,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,2011-10-26 13:36:00,2.1,18226.0,United Kingdom,12.6,Sale
561513,85174,S/4 CACTI CANDLES,1,2011-07-27 15:12:00,10.79,,United Kingdom,10.79,Sale
568212,23130,MISTLETOE HEART WREATH GREEN,1,2011-09-25 16:05:00,4.15,15154.0,United Kingdom,4.15,Sale
